Text,Actual HS,Predicted HS
budek,1,0
sarap ni orang,1,1
bencong treak bencong,1,0
otak jual mahal harga krn gk pakai alias mulus,0,1
udah tau bego gak ajar ngatain goblog goblog lu,1,1
cacat laku salah sang wanita laku layan hidup ngiang kepala i,0,0
kasihan warga dki php lantik anies batal janji kampanye,1,1
krn cebong tdk akn pria lajang lulus si sastra sbg profesor krn utk profesor ank smp tau hrs strata pnddikan lg stlh siitu jwb an knp cebong lbh cerdas bani kamfret,1,1
bolot alias daki,1,0
rujuk dlm sempak dehruang gerak radikalisme teror batas bilang anti islamotaknya dr kotor onta kyaknya,1,1
lho klo kristen nyimpen hp,0,0
rachmawati soekarno lempar sembako rakyat hati iris anggap rakyat dilempar lempar sembako souvenir kaca pimpin ayah beliau laku,1,0
banyakin syukur aja syukur ga kasih cacat yg terlalunaku insecure hasil minder liat yg cantik kesel,0,0
kali jkt kumuh aniessandi ngapain,1,1
acara setya novanto ngotot panggil klien izin presiden,0,0
anjir covernya wkwk,0,0
rezim wibu persekusi bongbong,0,1
mari pecat ahok gubernur jakarta krn hny bikin rusuh konflik negeri bohong ahok,1,1
rakyat pake telor paro ngasih kau gendut tai hidup gak,1,1
beda ampasntapi halbahwa akulahnyang kopi nikmatnnkultum senja,0,0
pas olivia nongolnlucu bangettttttt setannnshuuush,0,0
jm an udah mu tidur ya aq gangguin kmmaljum ngentot jumat malem kudu ngentot lg dek nung,0,0
cebong kelojot takjil nkalo waras takjil ngamuk ngamuk ngga karuanngiliran presiden hina,1,1
maju lu anjing ni orang tshiaku beli hajsjjssjhs,1,1
bismillah insyaallah besok rabu april sidik polda jawa timur periksa terang saksi nama sdr saikho asali sh kait lapor polisi duga noda agama lapor sdri,0,0
terima kunjung duta palestina indonesia zuhair saleh muhammad alshun semangat sahabat ketua pdi juang presiden indonesia megawati sukarnoputri yasser arafat,0,0
congor rusak nmakin muak orang lihat orang,1,1
jancuk bahagia ya,0,0
rakyat dukung kpk ri usut tuntas anies dn sandianggota dpramien rais jg kuasa elit politik libat korupsi,1,1
kadang ade member babi main sedap tekak nak,1,0
partai bangkit tp faham komunis bangkit tanam rezim,1,1
suka video kisah seteru haji bolot amp malih tongtong,0,0
salam jokowi kaya ferdinan antek sby ya,0,1
sih kriminalisasi lawan ide,0,1
halah bacot mulut lelaki terkadang,1,0
