Tweet,HS,stemmed_tweet
disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego   ,1,saat semua cowok usaha lacak perhati gue loe lantas remeh perhati yg gue kasih khusus ke elo basic elo cowok bego
siapa yang telat ngasih tau eluedan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga,0,siapa yang telat ngasih tau eluedan sarap gue gaul dengan cigax jifla cal sama siapa noh licew juga
 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku rasa tuhan itu ninggalkan aku sendiri ketika orangtuaku rencana pisah ketika kakak lebih pilih jadi kristen ketika aku anak ter
aku itu akunnku tau matamu sipit tapi diliat dari mana itu aku,0,aku itu akunnku tau mata sipit tapi liat dari mana itu aku
kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah,1,kaum cebong kapir udah liat dongok dari awal tambah dongok lagi hahahah
ya bani taplak dkk ,1,ya bani taplak dkk
deklarasi pilkada  aman dan anti hoax warga dukuh sari jabon,0,deklarasi pilkada aman dan anti hoax warga dukuh sari jabon
gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya  karakter utama cowonya kena friendzone bray xd ,0,gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya karakter utama cowonya kena friendzone bray xd
nah admin belanja satu lagi poterbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw ð  doket mano tu  gerai rojak mertuaku  taipan  depan twins baby amp romantika  bank islam senawang ð,0,nah admin belanja satu lagi poterbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak mertua taipan depan twins baby amp romantika bank islam senawang
enak lg klo smbil ngewe,0,enak lg klo smbil ngewe
setidaknya gw punya jari tengah buat lu sebelum gw ukur nyali sama bacot lu ,1,tidak gw punya jari tengah buat lu sebelum gw ukur nyali sama bacot lu
banci kaleng malu ga bisa jawab pertanyaan kami dari  hari lalu nyungsep koe ,1,banci kaleng malu ga bisa jawab tanya kami dari hari lalu nyungsep koe
